2024-01-17 18:20:10.070 - DEBUG    - Module Navigation configured - Navigation.lvlib:Main.vi.ACBRProxyCaller.A2D0007F->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:20:10.111 - DEBUG    - Configure module Modules\Dummy ... - startup.vi - 0 - 
2024-01-17 18:20:10.125 - DEBUG    - Configure module Modules\ActorModule ... - startup.vi - 0 - 
2024-01-17 18:20:10.126 - INFO     - Module User Interface configured. - ActorModule.lvlib:Main.vi.ACBRProxyCaller.A3800086->ActorModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:10.149 - DEBUG    - Configure module Modules\StateMachine ... - startup.vi - 0 - 
2024-01-17 18:20:10.150 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A3C00092->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:20:10.151 - DEBUG    - Initialization finished - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A3C00092->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:20:10.157 - INFO     - Module DBModule configured. - DBModule.lvlib:Main.vi.ACBRProxyCaller.A4000034->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:10.170 - DEBUG    - Configure module Modules\DBModule ... - startup.vi - 0 - 
2024-01-17 18:20:10.190 - ERROR    - DQMH Error Case - DBModule.lvlib:Main.vi.ACBRProxyCaller.A4000034->DBModule.lvlib:Main.vi - 1003 - Open VI Reference in hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:VI Reference AE.vi->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Create.vi:6800001->hse-db.lvlib:DB_CONNECTOR.lvlib:VI Reference Management.lvlib:Get or Create Master Reference.vi:4070001->hse-db.lvlib:DB_CONNECTOR.lvlib:Start Module.vi->DBModule.lvlib:Main.vi->DBModule.lvlib:Main.vi.ACBRProxyCaller.A4000034<APPEND>VI Path: <b>C:\Users\luisc\OneDrive\Desktop\579-Intelligent-Systems-Term-Project\06_Source\UI\FReVSys_Source\Libraries\hse-db\Source\DB_CONNECTOR\Main.vi</b><DQMH>Event Handling Loop</DQMH>
2024-01-17 18:20:19.611 - INFO     - Module DBModule stopped. - DBModule.lvlib:Main.vi.ACBRProxyCaller.A4000034->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:20:19.694 - DEBUG    - Exit - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A3C00092->StateMachine.lvlib:Main.vi->StateMachine.lvlib:HSE-State-Machine.lvlib:SM Wait for Transition.vi:2550001 - 0 - 
2024-01-17 18:20:19.701 - INFO     - Module StateMachine stopped. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A3C00092->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:20:19.864 - INFO     - Module Navigation stopped - Navigation.lvlib:Main.vi.ACBRProxyCaller.A2D0007F->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:20:19.900 - INFO     - Module UI Manager stopped - UI Manager.lvlib:Main.vi.ACBRProxyCaller.A2600089->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:20.054 - INFO     - Module Event Manager stopped - Event Manager.lvlib:Main.vi.ACBRProxyCaller.A1E0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:20.082 - INFO     - Application stopped. - startup.vi - 0 - 
2024-01-17 18:20:25.376 - INFO     - Starting FReVSys unreleased (Framework v1.2.0; HSE Libs v3.8.0) - startup.vi - 0 - 
2024-01-17 18:20:26.060 - DEBUG    - Loading Event Manager... - startup.vi - 0 - 
2024-01-17 18:20:26.267 - INFO     - Module UI Manager initialised - UI Manager.lvlib:Main.vi.ACBRProxyCaller.A8600079->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:20:26.276 - DEBUG    - Loading UI Manager... - startup.vi - 0 - 
2024-01-17 18:20:26.459 - DEBUG    - Loading "Navigation"... - startup.vi - 0 - 
2024-01-17 18:20:26.656 - INFO     - Module Event Manager initialised - Event Manager.lvlib:Main.vi.ACBRProxyCaller.A7E0008D->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:20:26.690 - DEBUG    - Loading "Dummy"... - startup.vi - 0 - 
2024-01-17 18:20:26.876 - DEBUG    - Loading "ActorModule"... - startup.vi - 0 - 
2024-01-17 18:20:27.049 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.A9C00084->StateMachine.lvlib:Main.vi - 0 - 
